collision-id,injured-wit-pass-id,stated-age,gender,gender-desc,race,race-desc,is-witness-only,is-passenger-only,extent-of-injury-code,injured-person-type,seat-position,seat-position-other,air-bag-code,air-bag-description,safety-equipment-code,safety-equipment-description,ejected,is-vovc-notified,party-number,seat-position-description
908317,1210046,9,M,MALE,,,False,True,,,Other,,P,NOT REQUIRED,C,OCCUPANT LAP BELT USED,NotEjected,False,2,
908317,1210045,12,M,MALE,,,False,True,,,Other,,P,NOT REQUIRED,C,OCCUPANT LAP BELT USED,NotEjected,False,2,
908317,1210044,11,M,MALE,,,False,True,,,Other,,P,NOT REQUIRED,C,OCCUPANT LAP BELT USED,NotEjected,False,2,
908317,1210043,12,M,MALE,,,False,True,,,Other,,P,NOT REQUIRED,C,OCCUPANT LAP BELT USED,NotEjected,False,2,
908317,1210042,11,M,MALE,,,False,True,,,Other,,P,NOT REQUIRED,C,OCCUPANT LAP BELT USED,NotEjected,False,2,
908317,1210041,9,M,MALE,,,False,True,,,Other,,P,NOT REQUIRED,C,OCCUPANT LAP BELT USED,NotEjected,False,2,
908317,1210040,13,M,MALE,,,False,True,,,Other,,P,NOT REQUIRED,C,OCCUPANT LAP BELT USED,NotEjected,False,2,
908317,1210039,14,F,FEMALE,,,False,True,,,Other,,P,NOT REQUIRED,C,OCCUPANT LAP BELT USED,NotEjected,False,2,
908301,1210021,14,M,MALE,,,False,True,,,Other,,P,NOT REQUIRED,G,OCCUPANT LAP SHOULDER HARNESS USED,NotEjected,False,2,
908301,1210020,18,F,FEMALE,,,False,True,,,Other,,P,NOT REQUIRED,G,OCCUPANT LAP SHOULDER HARNESS USED,NotEjected,False,2,
908301,1210019,16,F,FEMALE,,,False,True,,,Other,,P,NOT REQUIRED,G,OCCUPANT LAP SHOULDER HARNESS USED,NotEjected,False,2,
908301,1210018,16,M,MALE,,,False,True,,,Other,,P,NOT REQUIRED,G,OCCUPANT LAP SHOULDER HARNESS USED,NotEjected,False,2,
908301,1210017,16,F,FEMALE,,,False,True,,,Other,,P,NOT REQUIRED,G,OCCUPANT LAP SHOULDER HARNESS USED,NotEjected,False,2,
908301,1210016,14,F,FEMALE,,,False,True,,,Other,,P,NOT REQUIRED,G,OCCUPANT LAP SHOULDER HARNESS USED,NotEjected,False,2,
908230,1209929,12,F,FEMALE,,,False,True,,,Other,,P,NOT REQUIRED,F,OCCUPANT SHOULDER HARNESS NOT USED,NotEjected,False,2,
908212,1209914,51,M,MALE,,,False,True,,,PassengerFrontRight,,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,NotEjected,False,2,
